"","Sample","Treatment","Location","Sex","Cage"
"01_ZnD5.CL1_10478109_H7L7MAFX7_R1","01_ZnD5.CL1_10478109_H7L7MAFX7_R1","ZnD","colon","F",NA
"02_ZnD5.CL2_10478109_H7L7MAFX7_R1","02_ZnD5.CL2_10478109_H7L7MAFX7_R1","ZnD","colon","F",NA
"03_ZnD5.CL3_10478109_H7L7MAFX7_R1","03_ZnD5.CL3_10478109_H7L7MAFX7_R1","ZnD","colon","F",NA
"04_ZnD5.CL5_10478109_H7L7MAFX7_R1","04_ZnD5.CL5_10478109_H7L7MAFX7_R1","ZnD","colon","M",NA
"05_ZnD5.CL6_10478109_H7L7MAFX7_R1","05_ZnD5.CL6_10478109_H7L7MAFX7_R1","ZnD","colon","M",NA
"06_ZnD5.CL7_10478109_H7L7MAFX7_R1","06_ZnD5.CL7_10478109_H7L7MAFX7_R1","ZnD","colon","M",NA
"07_ZnD5.CL8_10478109_H7L7MAFX7_R1","07_ZnD5.CL8_10478109_H7L7MAFX7_R1","ZnD","colon","M",NA
"08_ZnD5.CL10_10478109_H7L7MAFX7_R1","08_ZnD5.CL10_10478109_H7L7MAFX7_R1","ZnA","colon","F",NA
"09_ZnD5.CL11_10478109_H7L7MAFX7_R1","09_ZnD5.CL11_10478109_H7L7MAFX7_R1","ZnA","colon","F",NA
"10_ZnD5.CL13_10478109_H7L7MAFX7_R1","10_ZnD5.CL13_10478109_H7L7MAFX7_R1","ZnA","colon","M",NA
"11_ZnD5.CL14_10478109_H7L7MAFX7_R1","11_ZnD5.CL14_10478109_H7L7MAFX7_R1","ZnA","colon","M",NA
"12_ZnD5.IL1_10478109_H7L7MAFX7_R1","12_ZnD5.IL1_10478109_H7L7MAFX7_R1","ZnD","intestine","F",NA
"13_ZnD5.IL2_10478109_H7L7MAFX7_R1","13_ZnD5.IL2_10478109_H7L7MAFX7_R1","ZnD","intestine","F",NA
"14_ZnD5.IL3_10478109_H7L7MAFX7_R1","14_ZnD5.IL3_10478109_H7L7MAFX7_R1","ZnD","intestine","F",NA
"15_ZnD5.IL5_10478109_H7L7MAFX7_R1","15_ZnD5.IL5_10478109_H7L7MAFX7_R1","ZnD","intestine","M",NA
"16_ZnD5.IL6_10478109_H7L7MAFX7_R1","16_ZnD5.IL6_10478109_H7L7MAFX7_R1","ZnD","intestine","M",NA
"17_ZnD5.IL7_10478109_H7L7MAFX7_R1","17_ZnD5.IL7_10478109_H7L7MAFX7_R1","ZnD","intestine","M",NA
"18_ZnD5.IL8_10478109_H7L7MAFX7_R1","18_ZnD5.IL8_10478109_H7L7MAFX7_R1","ZnD","intestine","M",NA
"19_ZnD5.IL10_10478109_H7L7MAFX7_R1","19_ZnD5.IL10_10478109_H7L7MAFX7_R1","ZnA","intestine","F",NA
"20_ZnD5.IL11_10478109_H7L7MAFX7_R1","20_ZnD5.IL11_10478109_H7L7MAFX7_R1","ZnA","intestine","F",NA
"21_ZnD5.IL13_10478109_H7L7MAFX7_R1","21_ZnD5.IL13_10478109_H7L7MAFX7_R1","ZnA","intestine","M",NA
"22_ZnD5.IL14_10478109_H7L7MAFX7_R1","22_ZnD5.IL14_10478109_H7L7MAFX7_R1","ZnA","intestine","M",NA
"23_ZnD5.Ce1_10478109_H7L7MAFX7_R1","23_ZnD5.Ce1_10478109_H7L7MAFX7_R1","ZnD","cecum","F",NA
"24_ZnD5.Ce2_10478109_H7L7MAFX7_R1","24_ZnD5.Ce2_10478109_H7L7MAFX7_R1","ZnD","cecum","F",NA
"downsampled_25_ZnD5.Ce3_10478109_H7L7MAFX7_R1","downsampled_25_ZnD5.Ce3_10478109_H7L7MAFX7_R1","ZnD","cecum","F",NA
"26_ZnD5.Ce5_10478109_H7L7MAFX7_R1","26_ZnD5.Ce5_10478109_H7L7MAFX7_R1","ZnD","cecum","M",NA
"27_ZnD5.Ce6_10478109_H7L7MAFX7_R1","27_ZnD5.Ce6_10478109_H7L7MAFX7_R1","ZnD","cecum","M",NA
"28_ZnD5.Ce7_10478109_H7L7MAFX7_R1","28_ZnD5.Ce7_10478109_H7L7MAFX7_R1","ZnD","cecum","M",NA
"downsampled_29_ZnD5.Ce8_10478109_H7L7MAFX7_R1","downsampled_29_ZnD5.Ce8_10478109_H7L7MAFX7_R1","ZnD","cecum","M",NA
"30_ZnD5.Ce10_10478109_H7L7MAFX7_R1","30_ZnD5.Ce10_10478109_H7L7MAFX7_R1","ZnA","cecum","F",NA
"31_ZnD5.Ce11_10478109_H7L7MAFX7_R1","31_ZnD5.Ce11_10478109_H7L7MAFX7_R1","ZnA","cecum","F",NA
"32_ZnD5.Ce13_10478109_H7L7MAFX7_R1","32_ZnD5.Ce13_10478109_H7L7MAFX7_R1","ZnA","cecum","M",NA
"33_ZnD5.Ce14_10478109_H7L7MAFX7_R1","33_ZnD5.Ce14_10478109_H7L7MAFX7_R1","ZnA","cecum","M",NA
